id,title,description,type,release_year,genres,directors,actors
53,thomas & friends,"thomas & friends is a british children's television series, which had its first broadcast on the itv network on 4 september 1984. it is based on the railway series of books by the reverend wilbert awdry and his son, christopher awdry. these books deal with the adventures of a group of anthropomorphised locomotives and road vehicles who live on the fictional island of sodor. the books were based on stories wilbert told to entertain his son, christopher during his recovery from measles. from series one to four, many of the stories are based on events from awdry's personal experience.",show,1984,animation|family|comedy|fantasy|drama|action|music,,rachael-louise-miller
54,waiting for the hearse,"mama cora, who is almost eighty years old, has three sons and a daughter. she lives with one of them, who has serious financial problems. the family meets one day to celebrate an anniversary meal, and that is when the problem arises: which of them will take care of her?",movie,1985,comedy,alejandro-doria,luis-brandoni|china-zorrilla|antonio-gasalla|julio-de-grazia|betiana-blum|juan-manuel-tenuta|mónica-villa|enrique-pinti|darío-grandinetti|cecilia-rossetto|andrea-tenuta|lidia-catalano|clotilde-borella|josé-andrada|miguel-ángel-porro|gofredo-colombo|juan-acosta|josé-andrada
55,jaal,"shankar's father leaves the family for meenabai. he later learns that his father is dead. he sets out to find out meenabai, who he thinks is behind his father's death.",movie,1986,action|drama|thriller,umesh-mehra,rekha|mithun-chakraborty|mandakini|moon-moon-sen|amrit-pal|jeetendra|vinod-mehra|tanuja|jagdeep|gulshan-grover|roopesh-kumar|ila-arun|tej-sapru|yunus-parvez|javed-khan|praveena|birbal|mohan-choti|sharat-saxena|mahesh|shreechand-makhija|sukhminder
56,pyar ke do pal,"in order to assist her close friend, rajni thakur, geeta choudhary, has an abortion in her name, so that rajni can get married. when her secret gets leaked out, geeta's husband, ashok, blames her, accuses her of being unfaithful, and drives her out of his house. they have twins, sunil and anil, and each parent is allowed custody of one child. the children meet each other at scout camp, and decide to re-unite their parents, without realizing that they are exposing not only them, but also each other, to danger and death.",movie,1986,drama|action,rajiv-mehra,mithun-chakraborty|bindu|krishan-dhawan|jagdeep|simple-kapadia|lalita-pawar|jaya-prada
57,she's gotta have it,"the story of nola darling's simultaneous sexual relationships with three different men is told by her and by her partners and other friends. all three men wanted her to commit solely to them; nola resists being ""owned"" by a single partner.",movie,1986,romance|comedy,spike-lee,tracy-camilla-johns|tommy-redmond-hicks|john-canada-terrell|spike-lee|raye-dowell|joie-lee|s.-epatha-merkerson|bill-lee|cheryl-burr|aaron-dugger|stephanie-covington|renata-cobbs|cheryl-d.-singleton|monty-ross|tiziano-cortini|erik-dellums|reginald-hudlin|eric-payne|gerard-brown|ernest-r.-dickerson|eric-wilkins|fab-5-freddy|scott-sillers|geoffrey-garfield|kathy-banks|steve-nicks|steve-ning
58,adam: his song continues,"follows the true story of john and reve walsh who, after their child was murdered, fought to raise national awareness of the problem of missing children.",movie,1986,crime|drama,robert-markowitz,jobeth-williams|daniel-j.-travanti|richard-masur|martha-scott|paul-regina|sam-mcmurray|lindsey-amelio
59,muqaddar ka faisla,"muqaddar ka faisla, is the story of pandit krishna kant. a poor, but extremely honest, upright, god-fearing man, who refuses to compromise on his principles.",movie,1987,action|comedy|drama|family,prakash-mehra,raaj-kumar|raj-babbar|tina-munim|rakhee-gulzar|meenakshi-seshadri
60,eddie murphy raw,"eddie murphy delights, shocks and entertains with dead-on celebrity impersonations, observations on '80s love, sex and marriage, a remembrance of mom's hamburgers and much more.",movie,1987,comedy|documentation,robert-townsend,eddie-murphy|tatyana-ali|billie-allen|samuel-l.-jackson|deon-richmond|barbara-harris|j.-d.-hall|james-brown-iii|tiger-haynes|eyde-byrde|birdie-m.-hale|clebert-ford|leonard-jackson|jody-jones|michelle-davison|geri-gibson
61,strange voices,a family begins to fall apart when their eldest daughter is diagnosed with schizophrenia.,movie,1987,drama,arthur-allan-seidelman,nancy-mckeon|valerie-harper|stephen-macht|tricia-leigh-fisher|millie-perkins|robert-krantz|robin-morse|jack-blessing|marta-kristen|heidi-schooler|molly-mcclure|gerald-hiken|fay-hauser|gary-bisig|micah-grant|nomi-mitty|william-wintersole|christine-avila|fred-ponzlov|madeleine-swift|charles-walker|ethel-winant|gloria-camden|robert-crow|art-bradford|david-blatt|jeff-kizer|danny-mccoy-jr.
62,fireman sam,"follow the adventures of fireman sam and his colleagues as they protect the citizens of the welsh town of pontypandy. whenever the alarm sounds, brave sam and his co-workers can be counted on to jump into a fire engine, hop onto a helicopter, or even launch an inflatable lifeboat to battle blazes, mount rescue missions, or provide medical attention to those in need.",show,1987,animation|comedy|family|crime|european,gary-andrews,steven-kynman|david-carling|su-douglas|tegwen-tucker|harriet-kershaw|alex-lowe|jo-wyatt|ifan-huw-dafydd|john-hasler|nigel-whitmey
63,sam kinison: breaking the rules,"this is a great performance. through yelling and energetic story-telling, he talks about marriage, drugs, being arrested (thanks to his ex-wife), pleasing women, religion, and much, much more.",movie,1987,comedy|documentation,walter-c.-miller,sam-kinison|denise-gallup|dian-gallup|hugh-hefner
64,full metal jacket,a pragmatic u.s. marine observes the dehumanizing effects the u.s.-vietnam war has on his fellow recruits from their brutal boot camp training to the bloody street fighting in hue.,movie,1987,war|drama,stanley-kubrick,matthew-modine|adam-baldwin|vincent-d'onofrio|r.-lee-ermey|dorian-harewood|arliss-howard|kevyn-major-howard|ed-o'ross|john-terry|bruce-boa|kieron-jecchinis|jon-stafford|tim-colceri|peter-edmund|kirk-taylor|ian-tyler|gary-landon-mills|sal-lopez|papillon-soo|ngoc-le|tan-hung-francione|marcus-d'amico|costas-dino-chimona|keith-hodiak|peter-merrill|herbert-norville|gil-kopel|philip-bailey|robert-e.-hartenberger|steve-hudson|john-curtis|chris-maybach|gary-smith|michael-anthony-williams|john-wilson|tony-carey|vivian-kubrick|stanley-kubrick|david-palffy|john-ward|david-george
65,quiet victory: the charlie wedemeyer story,"film that tells the story of los gatos (california) high school football coach charlie wedemeyer. at 31, onetime football pro wedemeyer is living the american dream; a winning team, a happy marriage and public adulation.",movie,1988,drama,roy-campanella-ii,pam-dawber|michael-nouri|bess-meyer|peter-berg|james-handy|dan-lauria|kyle-chandler|reginald-veljohnson|noble-willingham|stephen-dorff|betty-carvalho|mark-joy|jim-grimshaw|jennifer-lanier|howard-kingkade|richard-k.-olsen
66,aakhri adaalat,inspector amar kaushal attempts to incarcerate wrong-doers in his society only lead to frustration when they are let off by the incompetence of the law and his superiors and seniors. eventually amar stands accused of killing several criminals and innocents which prompts him to take law into his own hands.,movie,1988,action|crime|thriller,rajiv-mehra,vinod-khanna|dimple-kapadia|jackie-shroff|vinod-mehra|gulshan-grover|paresh-rawal|a.k.-hangal|shafi-inamdar|roopesh-kumar|sharat-saxena|sushma-seth|mahavir-shah|aanjjan-srivastav|birbal|bob-christo|sudhir-dalvi|sonam
67,the george mckenna story,"washington plays a school principal in a tough inner city los angeles high school out to rid it of drugs, gangs, low moral of teachers, and restore educational values.",movie,1988,drama,eric-laneuville,denzel-washington|lynn-whitfield|earl-billings|ray-buktenica|akosua-busia|michael-milburn|richard-masur|virginia-capers|barbara-townsend|j.a.-preston|bill-henderson|brent-jennings|terrance-ellis|michael-c.-matthews|ken-sagoes
68,a stoning in fulham county,religious beliefs clash with the law when an amish infant is killed in a rural community.,movie,1988,thriller|crime|drama,larry-elikann,ron-perlman|ken-olin|jill-eikenberry|gregg-henry|nicholas-pryor|brad-pitt|maureen-mueller|noble-willingham|peter-michael-goetz|theodore-bikel|olivia-burnette|bill-allen
69,too young the hero,"tv movie based upon the true story of calvin graham, who, as a 12 year old boy, enlisted in the us navy during wwii.",movie,1988,drama|war,buzz-kulik,ricky-schroder|debra-mooney|mary-louise-parker|jon-devries
70,mobile suit gundam: char's counterattack,in uc 0093 the federation has recovered from its defeat and has created a new anti-colonial special forces unit to deal with rebel forces: londo bell. elsewhere in space char aznable re-appears out of self imposed hiding with a declaration that he now commands his own neo-zeon movementand intends to force the emigration of earth's inhabitants to space by bringing about an apocalypse.,movie,1988,scifi|animation|action|drama|war,yoshiyuki-tomino,shuuichi-ikeda|toru-furuya|fuyumi-shiraishi|hirotaka-suzuoki|kazue-ikura|koichi-yamadera|maria-kawamura|mayumi-shou|mitsuki-yayoi|nozomu-sasaki|shingo-hiromori|shinobu-adachi|yoshiko-sakakibara
71,high risk,"high risk is a program aired by the cbs television network as part of its 1988 fall lineup.

the genesis of high risk was a 1988 strike by members of both the writers guild of america, east and writers guild of america, west against the alliance of motion picture and television producers. unable to produce regular, scripted series, programs such as high risk were put together to serve as replacements under fear of a two-year lockout.

the cbs 100% in-house production featured ""high-risk"" stunts and jobs such as border patrol agent, automobile repo men, cave explorers, and thrilling roller-coaster testers.

intended as a two-year commitment, strike or no strike, high risk received unanimous condemnations and was cancelled after being presented for one night. the show was hosted by wayne rogers.",show,1988,comedy,,wayne-rogers
72,the ryan white story,"the story of ryan white, a 13-year-old haemophiliac who contracted aids from factor viii, which was used to control this disorder.",movie,1989,drama,john-herzfeld,judith-light|michael-bowen|nikki-cox|george-dzundza|sarah-jessica-parker|mitchell-ryan|peter-scolari|grace-zabriskie|george-c.-scott|kathy-wagner|casey-ellison|mark-joy|ryan-white|lukas-haas|sue-satoris
73,parrot sketch not included: twenty years of monty python,"steve martin presents selected sketches from ""monty python's flying circus (1969)"". it's the well known sketches, though the parrot sketch is not included. steve martin has some funny comments on the pythons.",movie,1989,comedy,ian-macnaughton,graham-chapman|john-cleese|terry-gilliam|eric-idle|terry-jones|michael-palin|steve-martin
74,seinfeld,a stand-up comedian and his three offbeat friends weather the pitfalls and payoffs of life in new york city in the '90s. it's a show about nothing.,show,1989,comedy,,jerry-seinfeld|jason-alexander|michael-richards|julia-louis-dreyfus
75,saved by the bell,"lovable schemer zack morris leads his pals on adventures at california's bayside high school. the friends navigate relationships, final exams, school dances, breakups and more while frequently frustrating their principal, mr. richard belding, who does his best to keep them in check.",show,1989,family|comedy|romance,,mark-paul-gosselaar|mario-lópez|dustin-diamond|lark-voorhies|dennis-haskins
76,bill hicks: sane man,"sane man was filmed before bill recorded ‘dangerous’, his first comedy album, and is a turning point in hicks’ career. it was the first complete hicks show ever filmed and bill pulled out all the stops for the cameras. completely focused, a newly-sober hicks paces the stage like a wild animal riffing effortless.",movie,1989,comedy,kevin-booth|david-johndrow,bill-hicks
77,mujrim,"the film follows the story of shankar, who is regarded as a criminal by the society after being in jail for ten years since childhood.",movie,1989,drama|action|crime,umesh-mehra,mithun-chakraborty|madhuri-dixit|nutan|shakti-kapoor|amrish-puri|sharat-saxena|pallavi-joshi|johnny-lever|kunickaa-sadanand|jagdeep|gulshan-grover
